module,order,slug,title_en,title_pt,topic,status,glossary,prev,next,notes
0,1,why-invest,"Why invest at all?","Porque é que vale a pena investir?",getting-started,written,inflation;compound-interest,,how-compound-interest-works,Pilot
0,2,how-compound-interest-works,"How compound interest works","Como funcionam os juros compostos",concepts,written,compound-interest;interest-rate;inflation,why-invest,why-an-emergency-fund-comes-first,Pilot
0,3,why-an-emergency-fund-comes-first,"Why an emergency fund comes first","Porque o fundo de emergência vem antes de investir",planning,seeded-legacy,,how-compound-interest-works,budgeting-basics,Already seeded; migrate to .md later
0,4,budgeting-basics,"Budgeting basics before you invest","O orçamento base antes de investires",planning,written,inflation,why-an-emergency-fund-comes-first,what-is-investing,
1,1,what-is-investing,"What is investing, really?","O que é, afinal, investir?",concepts,written,asset;risk-and-reward-explained,budgeting-basics,risk-and-reward-explained,
1,2,risk-and-reward-explained,"Risk and reward explained","Risco e retorno explicados",concepts,seeded-legacy,volatility,what-is-investing,why-your-time-horizon-matters,Already seeded (risk-and-reward-explained)
1,3,why-your-time-horizon-matters,"Why your time horizon is your biggest ally","Porque o teu horizonte temporal é o maior aliado",concepts,seeded-legacy,,risk-and-reward-explained,what-is-inflation,Already seeded
1,4,what-is-inflation,"What inflation does to your money","O que a inflação faz ao teu dinheiro",concepts,written,inflation;interest-rate,why-your-time-horizon-matters,asset-classes-explained,
2,1,asset-classes-explained,"Asset classes explained","As classes de ativos explicadas",concepts,seeded-legacy,global-equities;bonds;cash,what-is-inflation,a-closer-look-at-global-equities,Already seeded
2,2,a-closer-look-at-global-equities,"A closer look at global equities","As ações globais mais de perto",concepts,written,global-equities;volatility,asset-classes-explained,a-closer-look-at-bonds,
2,3,a-closer-look-at-bonds,"A closer look at bonds","As obrigações mais de perto",concepts,written,bonds;interest-rate,a-closer-look-at-global-equities,cash-and-when-it-helps,
2,4,cash-and-when-it-helps,"Cash, and when it helps","Liquidez, e quando ajuda",concepts,written,cash,a-closer-look-at-bonds,what-is-esg-investing,
2,5,what-is-esg-investing,"What is ESG investing?","O que é o investimento ESG?",concepts,seeded-legacy,,cash-and-when-it-helps,what-is-diversification,Already seeded
3,1,what-is-diversification,"What is diversification?","O que é a diversificação?",concepts,seeded-legacy,diversification,what-is-esg-investing,what-is-asset-allocation,Already seeded
3,2,what-is-asset-allocation,"What is asset allocation?","O que é a alocação de ativos?",concepts,idea,portfolio;diversification,what-is-diversification,reading-an-example-portfolio,
3,3,reading-an-example-portfolio,"How to read an example portfolio","Como ler um exemplo de carteira",concepts,idea,portfolio,what-is-asset-allocation,what-is-rebalancing,
3,4,what-is-rebalancing,"What is rebalancing?","O que é o rebalanceamento?",concepts,idea,portfolio,reading-an-example-portfolio,understanding-account-types,
4,1,understanding-account-types,"Understanding account types","Perceber os tipos de conta",getting-started,idea,,what-is-rebalancing,costs-and-fees-explained,
4,2,costs-and-fees-explained,"Costs and fees, explained simply","Custos e taxas, explicados de forma simples",getting-started,idea,,understanding-account-types,how-a-portfolio-is-built,
4,3,how-a-portfolio-is-built,"How a portfolio is built (step by step)","Como se monta uma carteira (passo a passo)",getting-started,idea,portfolio;diversification,costs-and-fees-explained,what-is-periodic-investing,
4,4,what-is-periodic-investing,"What is periodic investing (DCA)?","O que é o investimento periódico (DCA)?",getting-started,idea,volatility,how-a-portfolio-is-built,staying-calm-when-markets-fall,
5,1,staying-calm-when-markets-fall,"How to stay calm when markets fall","Como manter a calma quando os mercados caem",mindset,seeded-legacy,volatility;bear-market,what-is-periodic-investing,common-beginner-mistakes,Already seeded
5,2,common-beginner-mistakes,"Common beginner mistakes to avoid","Erros comuns de quem começa",mindset,idea,,staying-calm-when-markets-fall,spotting-scams-and-red-flags,
5,3,spotting-scams-and-red-flags,"Spotting scams and red flags","Reconhecer fraudes e sinais de alarme",mindset,idea,,common-beginner-mistakes,set-your-goals,
6,1,set-your-goals,"Set your goals first","Define primeiro os teus objetivos",getting-started,idea,,spotting-scams-and-red-flags,what-is-an-investor-profile,
6,2,what-is-an-investor-profile,"What is an investor profile?","O que é um perfil de investidor?",getting-started,seeded-legacy,,set-your-goals,your-next-steps,Already seeded
6,3,your-next-steps,"Your next steps from here","Os teus próximos passos a partir daqui",getting-started,idea,,what-is-an-investor-profile,,Closes the path; links to questionnaire + ebook
